10368100usb SSB Calling
10368755usb GB3CAM
10368850usb GB3SEE
10368905usb GB3SCX
10368955usb GB3LEX
10368940usb GB3CCX
10368870usb GB3KBQ
10368945usb GB3PKT
10368810usb GB3XGH
1296828usb GB3MHL
1296888usb GB3DUN
1297050usb GB3FM
1297075usb GB3PS
1296100usb 1296.1
1296200usb 1296.2
1296300usb 1296.3
433325fm GB3ET
433000fm GB3BN
433225fm GB3TU
433375fm GB3FN!
433350fm GB3HR
433250fm GB3AW
433075fm GB3TD
433500fm SU20
434600fm RB0 Input
435315usb RS-30
436795usb AO-27
436837usb CO-55
437250usb Prism
437275usb Cute1.7
437325usb pSat1
437485fm CO-66
437465usb CO-58
437505usb $50SAT
437550usb LO-78
145825fm ISS Packet
145800fm ISS Voice/SSTV
144800fm APRS
145500fm S20
145600fm GB3SR
145625fm GB3SC
1456375fm GB7CT
145650fm GB3WH
145675fm GB3RD
145700fm GB3VA
1457125fm GB7OK
145725fm GB3SN
145737fm GB3AL
145750fm GB3WS
145762fm GB3NE
1457750fm GB3PC
1457875fm GB3JB
145815usb QB50p1
145840usb UKCUBE1
145865usb DO-64
145915usb FUNCUBE2
145935usb FUNCUBE1
144430usb GB3VHF
144425usb FZ5AM
144418usb ON0VHF
144409usb F5ZFS
